,toh,84000 ID,84000 name,possible BDRC matches
0,1-1,eft:palgyi-lh-npo,Palgyi Lhünpo,{}
1,5,eft:sarvanyadeva,sarvanyadeva,"{'P8211': ['rgya gar gyi mkhan po bid+yA ka ra pra b+ha', 'slob dpon bid+yA ka ra pra b+hA/', 'vidyākaraprabha'], 'P00KG07267': [""kha che'i mkhan po sarba dz+nyA de ba"", 'mkhan po sarba dz+nyA de ba/', 'sarvajñādeva'], 'P8249': ['d+harmA ka ra', 'mkhan po d+harma ka ra/', 'dharmakara,Dharmākaramati'], 'P4259': ['lo ts+tsha ba ban de dpal gyi lhun po', 'lo tsA ba dpal gyi lhun po/'], 'P8182': ['zhu chen gyi lo ts+tsha ba ban de dpal brtsegs', 'ska ba dpal brtsegs/'], '???': [""snga zhus kun dga'o shAkya dpal/_/gnyis kyis ma dag dri ma bsal/_/gsum zhus mkhas pa snar thang dpon slob pas/_/sa yi steng 'dir legs par dag bgyis so""]}"
2,6,eft:vidyakaraprabha,vidyakaraprabha,"{'P8211': ['rgya gar gyi mkhan po bid+yA ka ra pra b+ha', 'slob dpon bid+yA ka ra pra b+hA/', 'vidyākaraprabha'], 'P8574': ['d+har+m+ma shrI pra b+ha', 'd+harmasriprabha/', 'dharmaśrīprabha'], 'P4258': [""lots+tsha ba ban de dpal 'byor"", ""lo tsA ba dpal 'byor/""]}"
3,11,eft:jinamitra,Jinamitra,"{'P8205': ['zhu chen gyi lots+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
4,13,eft:sakyasena,sakyasena,"{'P8213': ['rgya gar gyi mkhan po bid+yA ka ra sing ha', 'slob dpon bIr+ya sing+ha pra b+ha/', 'vīryakarasiṁha,vīryasiṁha'], 'P8182': ['zhu chen gyi lots+tsha ba ban de dpal brtsegs', 'ska ba dpal brtsegs/']}"
5,14,eft:jnanasiddhi,jnanasiddhi,"{'P1KG8854': ['rgya gar gyi mkhan po shI len dra bo d+hi', 'shI len+dra bo d+hi/', 'śīlendrabodhi'], 'P8209': ['dzi na mi tra', ""kha che'i slob dpon dzi na mi tra/"", 'jinamitra'], 'P8205': ['zhu chen gyi lots+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
6,31,eft:anandasri-s-,anandasri (s),"{'P2147': [""lo ts+tsha ba shAkya'i dge slong nyi ma rgyal mtshan"", 'thar pa lo tsA ba nyi ma rgyal mtshan/'], 'P0TMP092': ['paN+Di ta chen po A nan+da shrI', 'paN+Di ta A nan+da shrI', 'Ānandaśrī'], 'G257': ['gtsug lag khang chen po dpal thar pa gling']}"
7,46,eft:kawa-paltsek-under-the-name-paltsek-raksita-,Kawa Paltsek (under the name Paltsek Rakṣita),"{'P8228': ['rgya gar gyi mkhan po su ren dra bo d+hi', 'lha dbang byang chub', 'surendrabodhi'], 'P8182': ['zhu chen gyi lo tsa ba ban de dpal brtsegs rak+Shi ta', 'ska ba dpal brtsegs/']}"
8,52,eft:yesh-d-,Yeshé Dé,"{'P8209': ['rgya gar gyi mkhan po dzi na mi tra', ""kha che'i slob dpon dzi na mi tra/"", 'jinamitra'], 'P8228': ['su ren dra bo d+hi', 'lha dbang byang chub', 'surendrabodhi'], 'P8205': ['zhu chen gyi lo ts+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
9,86,eft:danasila,Danaśila,"{'P8209': ['rgya gar gyi mkhan po dzi na mi tra', ""kha che'i slob dpon dzi na mi tra/"", 'jinamitra'], 'P3214': ['dA na shI la', 'paN chen dA na shI la/', 'dānaśīla'], 'P8205': ['zhu chen gyi lots+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
10,94,eft:t-vidyakarasimha,t. Vidyākarasiṃha,"{'P8213': ['rgya gar gyi mkhan po bid+yA ka ra sing ha', 'slob dpon bIr+ya sing+ha pra b+ha/', 'vīryakarasiṁha,vīryasiṁha'], 'P8260': ['lots+tsha ba ban de dpal gyi dbyangs', 'ban de dpal dbyangs/'], 'P8182': ['zhu chen gyi lots+tsha ba ban de dpal brtsegs', 'ska ba dpal brtsegs/']}"
11,99,eft:yesh-nyingpo,Yeshé Nyingpo,"{'P2548': ['rgya gar gyi mkhan po pradz+nyA bar ma', 'slob dpon shes rab go cha/', 'prajñāvarman'], 'P4255': ['lots+tsha ba ban de ye shes snying po', 'lo tsA ba ye shes snying po/', 'Jñānagarbha'], 'P8182': ['zhu chen gyi lots+tsha ba ban de dpal brtsegs', 'ska ba dpal brtsegs/']}"
12,100,eft:band-yesh-d-,Bandé Yeshé Dé,"{'P8228': ['rgya gar gyi mkhan po su ren dra bo d+hi', 'lha dbang byang chub', 'surendrabodhi'], 'P8205': ['zhu chen gyi lots+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
13,101,eft:leki-d-,Leki Dé,"{'P2548': ['rgya gar gyi mkhan po pradz+nyA warma', 'slob dpon shes rab go cha/', 'prajñāvarman'], 'P8263': ['lo ts+tsha ba ban de legs kyi sde', 'legs kyi sde/'], 'P8205': ['zhu chen gyi lo ts+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
14,113,eft:surendrabodhi,Surendrabodhi,"{'P8209': ['rgya gar gyi mkhan po dzi na mi tra', ""kha che'i slob dpon dzi na mi tra/"", 'jinamitra'], 'P1KG8854': ['shI len dra bo d+hi', 'shI len+dra bo d+hi/', 'śīlendrabodhi'], 'P8205': ['zhu chen gyi lots+tsha ba _ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
15,115,eft:yesh-d-ye-shes-sde-,Yeshé Dé (ye shes sde),"{'P3214': ['rgya gar gyi mkhan po dA na shI la', 'paN chen dA na shI la/', 'dānaśīla'], 'P8205': ['zhu chen gyi lo tsA ba _ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
16,127,eft:srilendrabodhi,Śrīlendrabodhi,"{'P1KG8854': ['rgya gar gyi mkhan po shI len dra bo d+hi', 'shI len+dra bo d+hi/', 'śīlendrabodhi'], 'P8266': ['zhu chen gyi lots+tsha ba ban de d+harma tA shI la', 'zhu chen gyi lo tsA ba dharma tA shI la/', 'Dharmatāśīla']}"
17,138,eft:silendrabodhi,Śilendrabodhi,"{'P8205': ['zhu chen gyi lo ts+tsha ba ban+de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
18,150,eft:dipamkarasrijnana,Dīpaṃkaraśrījñāna,"{'P3379': ['rgya gar gyi mkhan po dI paM ka ra shrI dz+nyA na', 'slob dpon mar med mdzad bzang po/', 'dīpaṁkaraśrijñāna,atīśa'], 'P1242': [""lo ts+tsha ba dge slong dge ba'i blo gros"", ""rma dge ba'i blo gros""]}"
19,153,eft:prajnavarma,prajnavarma,"{'P8209': ['rgya gar gyi mkhan po dzi na mi tra', ""kha che'i slob dpon dzi na mi tra/"", 'jinamitra'], 'P2548': ['pradz+nyA bad+ma', 'slob dpon shes rab go cha/', 'prajñāvarman'], 'P8205': ['zhu chen gyi lo ts+tsha ba ban+de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
20,160,eft:dharmapala,Dharmapāla,"{'P4CZ16819': ['rgya gar gyi mkhan po shAkya pra b+ha', ""slob dpon shAkya 'od/"", ""slob dpon shAkya 'od/"", 'śākyaprabha'], 'P0RK8': ['d+harma pA la', 'dpal ldan chos skyong /'], 'P8209': ['dzi na mi tra', ""kha che'i slob dpon dzi na mi tra/"", 'jinamitra'], 'P8266': ['zhu chen gyi lo tsA ba ban+de d+harma tA shI la', 'zhu chen gyi lo tsA ba dharma tA shI la/', 'Dharmatāśīla']}"
21,163,eft:t-jnanagarbha,t. Jñānagarbha,"{'P8217': ['rgya gar gyi mkhan po dz+nyA na gar b+ha', 'dz+nyA na gar b+ha/', 'jñānagarbha ?'], 'P4255': ['lots+tsha ba ban+de ye shes snying po', 'lo tsA ba ye shes snying po/', 'Jñānagarbha'], 'P8182': ['zhus chen gyi lots+tsha ba ban+de dpal brtsegs', 'ska ba dpal brtsegs/']}"
22,164,eft:vidyakarasimha,Vidyākarasiṃha,"{'P8219': ['rgya gar gyi mkhan po bi shud+d+ha sing ha', 'mkhan po bi shud+d+ha sing ha/', 'viśuddhasiṃha'], 'P4263': ['lots+tsha ba ban+de dge ba dpal', 'lo tsA ba dge ba dpal/'], 'P8220': ['zhu chen gyi lots+tsha ba ban+de de ba tsan dra', ""lo tsA ba de ba tsan+dra/,lha'i zla ba"", 'devacandra']}"
23,175,eft:dharmatasila,Dharmatāśila,"{'P8266': ['zhu chen gyi lots+tsha ba ban de d+harma tA shI la', 'zhu chen gyi lo tsA ba dharma tA shI la/', 'Dharmatāśīla']}"
24,176,eft:ch-nyi-tsultrim,Chönyi Tsultrim,"{'P8266': ['lo ts+tsha ba ban de chos nyid tshul khrims', 'zhu chen gyi lo tsA ba dharma tA shI la/', 'Dharmatāśīla']}"
25,178,eft:jnanasidhi,jnanasidhi,"{'P8209': ['rgya gar gyi mkhan po dzi na mi tra', ""kha che'i slob dpon dzi na mi tra/"", 'jinamitra'], 'P8222': ['dz+nyA na sid+d+hi', 'dz+nyA na sid+dhi/', 'jñānasiddhi'], 'P8205': ['zhu chen gyi lo ts+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
26,225,eft:paltsek,Paltsek,"{'P00KG07267': ['rgya gar gyi mkhan po sarba dz+nya de ba', 'mkhan po sarba dz+nyA de ba/', 'sarvajñādeva'], 'P8182': ['zhu chen gyi lo ts+tsha ba ban de dpal brtsegs', 'ska ba dpal brtsegs/']}"
27,231,eft:rinchen-tso,Rinchen Tso,"{'P8273': [""lo ts+tsha ba ban de rin chen 'tsho"", ""lo tsA ba rin chen 'tsho/""], 'P8266': ['chos nyid tshul khrims', 'zhu chen gyi lo tsA ba dharma tA shI la/', 'Dharmatāśīla']}"
28,238,eft:manjusrigarbha,Mañjuśrīgarbha,"{'P4CZ16780': ['rgya gar gyi mkhan po many+dzu shrI gar+b+ha', 'mkhan po many+dzu shrI gar+b+ha/', 'majuśrīgarbha'], 'P8267': ['bi dza ya shI la', 'rgya gar gyi mkhan po bi dza ya shI la', 'Vijayaśīla'], 'P1KG8854': ['shI len dra bo d+hi', 'shI len+dra bo d+hi/', 'śīlendrabodhi'], 'P8205': ['zhu chen gyi lo ts+tsha ba ban de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
29,242,eft:siladharma,siladharma,"{'P0TMPT007': [""rgya gar gyi d+harma rgya'i yi ge las ban de rnam par mi rtog"", 'rnam par mi rtog pa']}"
30,309,eft:zhang-yesh-d-,Zhang Yeshé Dé,"{'P8228': ['rgya gar gyi mkhan po su ren dra bo d+hi', 'lha dbang byang chub', 'surendrabodhi'], 'P8205': ['zhu chen gyi lo ts+tsha ba ban de zhang ye shes sde', 'sna nam btsun pa ye shes sde/']}"
31,349,eft:sherab-lekpa,Sherab Lekpa,"{'P8171': ['rgya gar gyi mkhan po d+harmA shrI b+ha dra', 'mkhan po d+harma shrI b+hA dra/', 'dharmaśrībhadra'], 'P4242': ['zhu chen gyi lots+tsha ba dge slong shes rab legs pa', 'shes rab legs pa/'], 'P753': ['sgra bsgyur gyi lots+tsha ba chen po dge slong rin chen bzang po', 'lo chen rin chen bzang po/']}"
32,384,eft:sakya-yesh-,Śākya Yeshé,"{'P8151': ['paN+Di ta ga ye d+ha ra', 'ga ya dha ra/', 'gayādhara, Kāyastha Gayādhara'], 'P3285': ['lots+tsha ba dge slong shAkya ye shes', 'brog mi lo tsA ba shAkya ye shes/']}"
33,425,eft:jinavara,Jinavara,"{'P0TMP098': ['rgya gar gyi mkhan po dzi na bar', 'rgya gar gyi mkhan po dzi na bar', 'Jinapara'], 'P3458': [""bod kyi lo ts+tsha ba chen po 'gos lhas btsas"", 'gos lo tsA ba khug pa lhas brtsas/']}"
34,431,eft:trakpa-gyaltsen,Trakpa Gyaltsen,"{'P4CZ10553': ['paN+Di ta rat+na shrI', 'mkhas pa rin chen dpal ye shes/', 'ratnaśrījñāna ?'], 'P2637': ['lo ts+tsha ba grags pa rgyal mtshan', 'yar lung lo tsA ba grags pa rgyal mtshan/'], '-': [""dpal ldan sa skya'i gtsug lag khang chen po""]}"
35,498,eft:phakpa-sherab,Phakpa Sherab,"{'P8206': [""kha che'i paN+Di ta tse lu"", 'tse lu/', 'celu-pa'], 'P3709': [""bod kyi lo ts+tsha ba 'phags pa shes rab"", ""zangs dkar lo tsA ba 'phags pa shes rab/""]}"
36,543,eft:kumarakalasa,Kumārakalaśa,"{'P4CZ15137': ['rgya gar gyi mkhan po dge bsnyen chen po ku mA ra ka la sha', 'mkhan po gzhon nu bum pa/', 'kumārakalasa'], 'P8216': ['sgra sgyur gyi lots+tsha ba dge slong shAkya blo gros', 'lo tsA ba shAkya blo gros/']}"
37,544,eft:dipamkara-srijnana,Dīpaṃkara Śrījñāna,"{'P3379': ['rgya gar gyi mkhan po chen po dI paM ka ra shrIdz+nyA na', 'slob dpon mar med mdzad bzang po/', 'dīpaṁkaraśrijñāna,atīśa'], 'P1242': [""lots+tsha ba dge slong dge ba'i blo gros"", ""rma dge ba'i blo gros""], 'P3456': ['dge slong tshul khrims rgyal ba', ""nag 'tsho lo tsA ba tshul khrims rgyal ba/""]}"
38,850,eft:pa-tshab-nyi-ma-grags,pa tshab nyi ma grags,"{'P0TMP104': ['rgya gar gyi mkhan po pu N+ya sam+b+ha wa', 'rgya gar gyi mkhan po bu N+ya saM b+ha wa', 'Punyasambhava'], 'P5651': ['lo ts+tsha ba pa tsha ba nyi ma grags', 'pa tshab lo tsA ba nyi ma grags pa/']}"
39,725,eft:band-yesh-de,Bandé Yeshé De,"{'P8209': ['rgya gar gyi mkhan po dzi na mi tra', ""kha che'i slob dpon dzi na mi tra/"", 'jinamitra'], 'P3214': ['dA na shI la', 'paN chen dA na shI la/', 'dānaśīla'], 'P8205': ['zhu chen gyi lots+tsha ba ban+de ye shes sde', 'sna nam btsun pa ye shes sde/']}"
40,747,eft:buddhakaravarma,Buddhākaravarma,"{'P8245': ['rgya gar gyi mkhan po bud+d+ha A ka ra ba rma', 'bud d+ha ka ra wa rman/', 'buddhakaravarman ?'], 'P3890': ['lo ts+tsha ba dge slong chos kyi shes rab', 'shel dkar lo tsA ba chos kyi shes rab/']}"
